ObjectID_common_goods,GlobalID_common_goods,Cost_of_common_good_price,ObjectID_litter,GlobalID_litter,Environmental_quality_index_litter,Distance
317,9ad74028-5b2c-40bb-95f5-4f23a5215df0,2.75,363,ddafaabc-12ee-4e18-820c-50ba1bd2e936,3.0,0.0004346577453711792
344,28eeeeb5-6153-49d0-8f21-d4171580c9c9,2.86,375,a899f098-3faf-47e7-87a7-bae12d6299ea,3.0,0.0004202809443769921
354,1b331585-f4ac-4591-ba75-a7de773efc30,2.095,378,d963191e-e185-483c-8e65-eca49bba7ee6,4.0,0.0004432744265981122
359,ec94c503-3fd1-47a4-81fa-b23641ba0e9d,2.99,378,d963191e-e185-483c-8e65-eca49bba7ee6,4.0,0.0003309833926335657
384,d5ed1517-5946-4db1-8625-1e6737ef1927,1.99,378,d963191e-e185-483c-8e65-eca49bba7ee6,4.0,0.00033458762183548286
405,26882077-ca5a-464e-8199-5f466dc57bc5,1.5,392,29348d70-c987-4cc9-8d82-091aa277580c,3.0,0.0006046119972036198
406,123938d5-8e1d-4d03-88ab-0e2e2210c7e5,2.0,392,29348d70-c987-4cc9-8d82-091aa277580c,3.0,0.00045493724903329115
414,8ac09cb4-63da-479f-bdaa-59ea4c9c94f5,2.85,483,03787f82-88bf-44e2-84f1-1570d1fe4ba3,3.0,0.00020088860833950557
491,9f1fc805-6116-424f-9634-9c6060fadd34,2.0,483,03787f82-88bf-44e2-84f1-1570d1fe4ba3,3.0,0.00034552319794994385
492,bd23027b-93bc-4b04-ac60-1ba79b729e19,1.5,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
493,8e6dc3c7-2696-407e-9fa2-3c3e5d739b03,1.5,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
494,7072c44b-e860-43e8-81d8-9f8aa150892e,3.0,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.0002761114429333904
496,9925a4fc-ebf6-4d07-9414-0d1d60484b91,2.0,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
497,5481acd8-4035-4106-bf62-05302dda7689,1.99,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.0002761114429333904
498,2887cb39-8784-4bf7-8d61-1b18fae444b4,2.0,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.0002761114429333904
508,43709868-a85a-4d1e-b650-07047c72f75e,2.1,392,29348d70-c987-4cc9-8d82-091aa277580c,3.0,0.00047621108904350525
509,81799bd6-8959-4b27-affa-11babf83913c,1.25,392,29348d70-c987-4cc9-8d82-091aa277580c,3.0,0.0005697947012612958
510,ece67fc6-5832-47a2-8ee9-0ef4869f3a75,2.29,392,29348d70-c987-4cc9-8d82-091aa277580c,3.0,0.0005798456705159123
511,5f782b12-dc3c-409b-a003-7fc3b0d0e513,2.5,488,c2efca8f-eff4-4efc-8fed-fc6ced2ba501,3.0,0.005866396178053599
517,68b6cca1-54d3-4fcb-aaf1-d3a42c8561eb,2.83,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
518,081abbce-de35-4855-9fab-41066f237ba0,3.0,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
519,5b76a7ad-521a-434f-b305-6638c5c31003,2.95,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
520,fdb6841b-555a-477c-8777-33f7d2715d62,2.5,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
521,550bb033-e503-4c6a-90b5-57231b3744e7,2.5,312,203e773b-41d5-4390-857c-c925cd6f700c,3.0,0.000428799869159344
522,0589a28c-603f-4dcd-b00b-d48408db966b,1.5,392,29348d70-c987-4cc9-8d82-091aa277580c,3.0,0.0002901279342062165
523,e5ae9167-2b25-4710-9191-fc44ea6aece9,1.5,392,29348d70-c987-4cc9-8d82-091aa277580c,3.0,0.0002901279342062165
524,5cde2fb7-6bad-444e-b6eb-357bde3b3406,3.25,381,c5abbddc-ca5f-4894-8f3a-57e1f857959a,3.0,0.0008515281583494906
